Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-07,East corp may soon propose property tax hike in budget,"pie chart, area chart, icons",economic,7,"1, 4",3,3.8,colour,no,no
Dec-07,10 crimes that fell in 2016,"table, bar chart",crime,11,2,2,7,b&w,no,yes
Dec-07,IT wave at IITs: Tech firms are eason's top recruiters,table,education,12,3,2,2,colour,yes,no
Dec-07,"BJP looks all set to retain Gujarat, but 150 seats unlikely, says poll","table, bar chart, ring chart",politics,15,2,3,5.5,colour,yes,no
Dec-07,"RBI keeps rates on hold due to inflation, growth uptick",area chart,economic,23,2,2,3.8,colour,no,no
Dec-07,Lower fees for debit card payments on small shops,table,economic,23,3,2,1,colour,no,no
Dec-07,Tale of Lankan defiance: Dhananjaya Desilva,jumbo figures,sports,25,2,0.5,2,colour,yes,no
Dec-07,Kohli the conquerer,jumbo figures,sports,25,1,1,1,colour,yes,no
Dec-07,World record for India,table,sports,25,3,2,3.9,colour,yes,no
Dec-07,Luk who rescued United,"table, jumbo figures, list",sports,28,1,1.5,4.5,colour,yes,no
Dec-07,When will bollywood get its blockbuster war film,jumbo figures,entertainment,34,"1, 2",8,2,colour,yes,no
Dec-07,Citizen reporter,map,public opinion,4,1,4,9,colour,yes,no
Dec-08,CityWeather,icons,weather,4,2,1,1.5,colour,no,no
Dec-08,"After 2 months, Delhi gets moderate air","colour, bar chart, map",environment,4,2,2,4.3,colour,no,yes
Dec-08,Stats and the city,jumbo figures,education,4,2,1,1.3,colour,no,no
Dec-08,EDMC eyes Rs. 25cr with 3 new taxes,"bubble chart, list, icons, bar chart",development,5,"1, 2",5,4.7,colour,no,no
Dec-08,Murder rate has fallen to the level of 1960s,"area chart, line chart, bubble chart",crime,9,2,2,8,colour,no,yes
Dec-08,10 blue chips create Rs.15L-cr m-cap in 5 years,"bubble chart, bar chart, table",economic,24,2,2,2,colour,no,yes
Dec-08,"The states with fast and good growth are Gujarat, Maharashtra and Madhya Pradesh","bar chart, colour, scatter plot",economic,24,1,3,6.4,colour,no,no
Dec-08,The new Fab Four,"table, list",sports,26,2,2,4,colour,yes,no
Dec-08,Real struggling to shore up defence,list,sports,26,1,2,1.3,colour,yes,no
Dec-08,Where the weather is deadliest,"bar chart, bubble chart",environment,2,1,3,6,colour,yes,no
Dec-08,Citizen reporter,map,public opinion,2,4,4,9.3,colour,yes,no
Dec-08,Crimes by foreigners in India 3 times those against them: NCRB,"jumbo figures, table",crime,3,3,2,1.7,colour,no,no
Dec-09,Voting in first phase of Gujarat polls today,"map, jumbo figures, table",politics,1,1,2,3,colour,yes,no
Dec-09,Cash-rich SDMC budgets big for pollution fight and education..,"ring chart, list, icons",development,4,1,3,6.5,colour,no,no
Dec-09,CityWeather,icons,weather,5,2,1,1.5,colour,no,no
Dec-09,DTC fares well as metro rides costlier,"stacked bar chart, area chart, jumbo figures",transport,5,2,3,4.5,colour,no,yes
Dec-09,Movie reviews,visual depiction of numbers,entertainment,6,"1, 2",1.8,1.5,colour,yes,no
Dec-09,"At 217 AQI, city air poor but rain may help matters","map, bar chart",environment,6,4,3,4,colour,no,yes
Dec-09,A third of crime against women happens at home,"bar chart, jumbo figures, pie chart",crime,11,2,2,8,colour,no,yes
Dec-09,Over 2cr Gujarat voters will give verdict on Vikas today,"map, bar chart, pie chart",politics,12,2,2.5,3,colour,no,no
Dec-09,High five,jumbo figures,sports,28,"1, 2",2,4,colour,yes,no
Dec-09,Ajay and Parineeti are No. 1 on Times Celebex,"table, list",entertainment,34,"1, 4",2,19.5,colour,yes,no
Dec-09,Now we're scared to go to the end of HKV lane. It's so empty',"jumbo figures, list, timeline",lifestyle,38,"1, 4",4,3.5,colour,yes,no
Dec-09,Mirchi top 20,table,entertainment,45,2,2,3,colour,yes,no
Dec-09,Gaana top 5 angrezi,table,entertainment,45,2,2,1,colour,yes,no
Dec-09,Top mid-segment localities by consumer preference - NCR,map,lifestyle,63,"1, 2",5,8,colour,no,no
Dec-09,Govt. takes over management of Unitech in 'public interest',jumbo figures,development,1,2,1.2,1.7,colour,no,no
Dec-09,"Life better now than 50 years ago? India says yes, US says no","jumbo figures, map, colour",lifestyle,2,1,4,5,colour,no,no
Dec-09,Citizen reporter,map,public opinion,2,4,4,9,colour,yes,no
Dec-10,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-10,"Illegal colony facing bulldozer in 2013, grows under the nose of south corp",map,development,2,"1, 2",7,1.2,colour,yes,no
Dec-10,Air quality back to very poor,map,environment,6,2,2,3.7,colour,no,yes
Dec-10,Citizen reporter,map,public opinion,6,1,4,9,colour,yes,no
Dec-10,"Loner in school, angry & jealous at home","timeline, map, list",crime,7,2,3,3,colour,yes,no
Dec-10,ED probing scams with 44% strength,table,administration,8,3,2,2,colour,no,no
Dec-10,Why startups think they're too small to be hacked,"jumbo figures, icons, list, process",technology,14,"2, 3",4,2.5,colour,yes,no
Dec-10,Deal of the week,jumbo figures,economic,14,4,1.5,2.7,colour,no,no
Dec-10,Top 10 Indian cloud clusters,sankey diagram,technology,14,4,1.5,3,colour,no,no
Dec-10,Incredible fact,"jumbo figures, bar chart",lifestyle,15,1,3,6,colour,no,yes
Dec-10,Kendall Jenner is now the world's highest paid model,jumbo figures,lifestyle,15,"1, 4",3,4.5,colour,yes,no
Dec-10,Vladimir Putin inches closer to Stalin's record,"bar chart, jumbo figures",politics,18,3,1.5,3.5,colour,yes,no
Dec-10,"New format, new challenges","ring chart, jumbo figures",sports,19,"1, 2",5.5,1,colour,yes,no
Dec-10,India vs SL score,"table, jumbo figures",sports,19,1,1,3,colour,no,no
Dec-10,Roar in the city,"table, ring chart, jumbo figures",sports,21,"1, 2",5.5,1.5,colour,yes,no
Dec-11,"1800 chinese troops camping at Doklam, first time in winter",map,foreign affairs,1,2,1,1.2,colour,no,no
Dec-11,1 in 5 urban families forced to borrow to fund hospital stay,table,economic,1,4,1,1.2,colour,no,no
Dec-11,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-11,Stats and the city,jumbo figures,education,2,2,1,1.4,colour,no,no
Dec-11,5 worst traffic stretches,"list, bar chart",transport,2,3,1,3.7,colour,no,no
Dec-11,86% of senior citizens unaware of human rights,"ring chart, jumbo figures, list",lifestyle,2,"3, 4",2.5,3.7,colour,yes,no
Dec-11,No fiction: less than a third of Government schools in the city have science stream,stacked bar chart,education,3,2,2,4.5,colour,no,no
Dec-11,Migratory birds return to their favourite haunts,"map, bar chart",environment,3,3,2,3.5,colour,yes,no
Dec-11,Citizen reporter,map,public opinion,4,2,4,9,colour,yes,no
Dec-11,Metro to plot Bahadurgarh on map,"map, jumbo figures",development,5,1,2,3.5,colour,no,no
Dec-11,Nearly half of rape victims were minors,bubble chart,crime,6,2,2,8,colour,no,yes
Dec-11,Why India is stuck with 150-yr-old LGBT laws,"timeline, table",lifestyle,8,2,5,7.4,colour,yes,yes
Dec-11,"Crime against STs, SCs highest in MP","bar chart, colour",crime,10,1,2,3.4,colour,no,no
Dec-11,"Train travel riskier, crime jumps by 34%","area chart, bar chart",crime,10,1,2,1.5,colour,no,no
Dec-11,Hospitalisation most expensive in rural Guj,bar chart,health,13,2,3,2,colour,no,no
Dec-11,Payment players split over card fee,"bar chart, table",economic,17,2,1,2,colour,no,no
Dec-11,Best funds to buy,"table, jumbo figures",economic,18,"1, 2",8,1.2,colour,no,no
Dec-11,Why investors don't opt for NPS,jumbo figures,economic,18,"1, 2",2.5,0.8,colour,no,yes
Dec-11,Time is running out for Aadhar linking,table,lifestyle,18,4,3,2.3,colour,no,no
Dec-11,Mauled in the mountains,jumbo figures,sports,19,"1, 2, 3, 4",3,1.8,colour,yes,no
Dec-12,First wet spell in December in 3 yrs set to clean city air,"area chart, stacked bar chart",environment,5,2,2,3.7,colour,yes,yes
Dec-12,Citizen reporter,map,public opinion,6,2,4,9,colour,yes,no
Dec-12,SUV dragged Noida crash victim for 17 km,map,accidents,8,1,2,2.1,colour,yes,no
Dec-12,India reduces gap with China on prosperity,"icons, stacked bar chart, scatter plot",economic,19,1,2,3.8,colour,no,yes
Dec-12,Cognizant top IT stock pick in 10 yrs,"table, bar chart",economic,19,3,2,2,color,no,yes
Dec-12,Unveiling the 16 finalists of Mr. India 2017,table,entertainment,25,"2, 3",4,2.6,colour,yes,no
Dec-13,Govt to set up 12 special courts to try 1581 MPs and MLAs,jumbo figures,judiciary,1,2,2,1.5,colour,no,no
Dec-13,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-13,"In 4 years, DTC lost 17 lakh commuters","jumbo figures, bar chart",transport,2,2,2,4.7,colour,yes,no
Dec-13,"Final hurdle on Dwarka e-way off, to be ready by March 2018 ",map,development,2,2,3,4.3,colour,no,no
Dec-13,Ill-equipped govt hospitals make pvt ones critical despite drain on savings,"bar chart, table",development,4,1,2,1.4,colour,yes,no
Dec-13,Delhi police self-defense campaign,table,campaign,4,4,4,2.5,colour,yes,no
Dec-13,Pollution watch,"bar chart, colour",environment,6,2,1,5.7,colour,no,no
Dec-13,5 worst traffic stretches,"list, bar chart",transport,6,3,3,3.8,colour,no,no
Dec-13,Citizen reporter,map,public opinion,8,1,4,9,colour,yes,no
Dec-13,2.4 lakh Indians turn repeat offenders in 2016,"bar chart, jumbo figures",crime,9,2,2,8,colour,no,yes
Dec-13,Centre set aside Rs. 8 crore to fastrack trials by special courts,bar chart,judiciary,10,1,2,2,colour,no,yes
Dec-13,Airtel sells 20% in DTH arm to Warburg for Rs. 2.3k crore,bar chart,entertainment,25,2,1.2,0.8,colour,no,yes
Dec-13,Indians invested more in stocks than in FDs in FY17,stacked bar chart,economic,25,3,2,1.7,colour,no,no
Dec-13,"Retail inflation at 15-mth high, factory output slows to 2.2%","bar chart, icons, area chart",development,26,2,2,4,colour,no,no
Dec-13,Bruised India eye revenge,"jumbo figures, ring chart",sports,27,"1, 2",5,1.7,colour,yes,no
Dec-13,Cook set for 150th test,"table, bar chart",sports,27,4,3,3,colour,yes,no
Dec-14,Final phase of Gujarat Polls today,"map, table, jumbo figures",politics,1,1,1,3,colour,yes,no
Dec-14,"Rohit: 3 double hits; rest of the worls, 4",line chart,sports,1,2,3,2,colour,yes,no
Dec-14,CityWeather,icons,weather,2,2,1,1.8,colour,no,no
Dec-14,SC wants 10000 buses in city by next year,table,transport,2,2,3,1.5,colour,yes,no
Dec-14,Stats and the city,jumbo figures,lifestyle,2,2,1,1.3,colour,yes,no
Dec-14,"With mercury likely to dip today, air may get worse in next 3 days",map,environment,2,4,2,3.6,colour,no,no
Dec-14,Delhi police self-defense campaign,table,campaign,2,3,4,2.5,colour,yes,no
Dec-14,5 worst traffic stretches,"list, bar chart",transport,4,2,1,3.8,colour,no,no
Dec-14,RWAs move HC for FOBs at Moolchand,map,accidents,4,"1, 2",2,2,colour,no,no
