Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-16,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-16,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-16,CPCB: This year more polluted than previous year,"table, jumbo figures",environment,3,2,2,2.7,b&w,no,yes
Dec-16,HC orders CBI to look into hanuman statue matter,jumbo figures,judiciary,3,2,1,0.7,b&w,no,no
Dec-16,Half Marathon Route,map,campaign,5,"3, 4",5,6.7,colour,no,yes
Dec-16,Cold wave to persist,"table, jumbo figures",environment,6,3,1,4,colour,yes,no
Dec-16,GST rate notice for restaurants,table,economic,7,"3, 4",4.5,3.3,colour,no,yes
Dec-16,Countries where people work even after the age of 65,bar chart,lifestyle,10,"3, 4",4.5,1.3,b&w,no,yes
Dec-16,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-16,Sensex,jumbo figures,sensex,12,1,3,0.7,colour,no,yes
Dec-16,Increase in export,jumbo figures,economic,12,2,1,0.7,colour,no,no
Dec-16,"Smartphones to get costly, Custom duty rates",table,lifestyle,12,4,1,2.7,colour,yes,no
Dec-16,Weather report,icons,weather,17,2,2,0.7,colour,no,yes
Dec-16,"Epitome of educational history, Harkort Butler school","jumbo figures, timeline",education,24,"1, 2",3.5,3.3,colour,yes,no
Dec-16,Carlessness of police puts residents to unrest as criminal are roaming freely,jumbo figures,crime,25,2,2,4,b&w,no,no
Dec-17,Join Indian Air Force,table,lifestyle,2,"3, 4",5.5,1.3,colour,yes,no
Dec-17,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-17,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-17,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-17,These people earn crores from You Tube,bar chart,entertainment,10,"3, 4",5,1.3,b&w,no,yes
Dec-17,Expense on health by various nations,"bar chart, pie chart",lifestyle,11,"1, 2",8,0.7,colour,no,no
Dec-17,Usual medical expense by Govt.,"stacked bar chart, line chart",lifestyle,11,1,2,2.7,colour,no,no
Dec-17,Expense comparison of various nations,"stacked bar chart, line chart, icons",health,11,"1, 4",2,4,colour,no,no
Dec-17,Intereference of local governance ,"line chart, bar chart, colour",health,11,4,2,3.3,colour,no,no
Dec-17,Average expense on cure,stacked bar chart,health,11,3,1.5,1.6,colour,no,no
Dec-17,Public opinion,colour,public opinion,11,4,2,1.3,colour,no,no
Dec-17,People coming into debts due to hospital bills,jumbo figures,health,11,"3, 4",2.5,0.7,colour,yes,no
Dec-17,Rohit plays his last cards,jumbo figures,sports,16,1,1,4.7,b&w,yes,no
Dec-17,Radio city top 25,list,entertainment,17,1,3,3.3,colour,no,no
Dec-17,"Ignoring injuries, she won",jumbo figures,sports,22,2,1,1.3,colour,yes,no
Dec-17,Weather report,"map, colour",weather,27,4,2,3.3,colour,no,yes
Dec-18,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-18,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-18,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-18,Possible improvements that we might see after the results,list,politics,14,2,1,2,colour,no,no
Dec-18,Modi roams 28000 kms whereas Rahul gandhi travels 21000 kms in Gujarat for campaigning,list,politics,14,2,3,3.3,colour,yes,no
Dec-18,Dhawan's century leads India to victory,"table, jumbo figures",sports,16,"1, 2",4,4.7,colour,yes,no
Dec-18,Tharanga completes a 1000 runs,table,sports,16,3,1.5,1.3,colour,yes,no
Dec-19,Modi biggest player,"visual depiction of numbers, stacked bar chart, colour, map, jumbo figures, icons",politics,1,"1, 2",7,4,colour,yes,no
Dec-19,BJP sweeps off Congress in Himachal,bar chart,politics,1,2,1,1.3,b&w,yes,no
Dec-19,Weather report,icons,weather,3,2,2,0.7,colour,no,yes
Dec-19,Air quality,"colour, table",environment,3,2,1,3.3,colour,yes,no
Dec-19,Kejriwal Govt did not pay parking fee of 1000 crore to MCD,table,politics,3,3,1.5,1.3,b&w,no,no
Dec-19,Image of Gujarat,"map, colour",politics,9,"1, 2, 3, 4",5,2.9,colour,yes,no
Dec-19,Stats of results of gujarat election,table,politics,9,4,2,7.3,colour,no,no
Dec-19,States where parties played well,map,politics,9,3,2,2.7,colour,no,no
Dec-19,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-19,Sensex,jumbo figures,sensex,12,1,3,0.7,colour,no,yes
Dec-19,Election results affect stock market with 1100 points swing,jumbo figures,sensex,12,1,1,1.3,colour,no,no
Dec-19,"For 20 years, rate of growth will be greater than 8%",jumbo figures,development,12,2,1,1.3,colour,no,yes
Dec-19,Australia wins ashes,"table, jumbo figures",sports,16,1,2,4.7,colour,yes,no
Dec-20,Train rams into barricade on autopilot,"map, jumbo figures",transport,1,2,4,2,colour,yes,no
Dec-20,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-20,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-20,Magenta line to be inagurated only after new safety clearances,jumbo figures,transport,5,2,1,0.7,colour,yes,no
Dec-20,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-20,Sensex,jumbo figures,sensex,14,1,3,0.7,colour,no,yes
Dec-20,Stock market reaches new high,jumbo figures,sensex,14,4,1,0.7,colour,no,no
Dec-20,Indian population is highest amongst immigrants in various nations,jumbo figures,foreign affairs,14,4,2,2,colour,yes,no
Dec-20,Weather report,"map, colour",weather,18,4,2,3.3,colour,no,yes
Dec-21,"Temperature drops, pollution rises in capital",bar chart,environment,1,3,1,2,b&w,no,yes
Dec-21,"AAP croses its limits, suspends 12",list,administration,4,2,1,2,b&w,yes,no
Dec-21,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-21,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-21,Public opinion,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-21,Sensex,jumbo figures,sensex,12,1,3,0.7,colour,no,yes
Dec-21,"Increase in the number of crorepati taxpayers, but decrease in their income",jumbo figures,lifestyle,12,1,2,0.4,colour,no,no
Dec-21,350 projects halted ,jumbo figures,administration,12,1,1,0.4,colour,no,no
Dec-21,Air force demands 83 Tejas planes from HAL,jumbo figures,development,12,3,1,0.4,colour,no,no
Dec-21,Weather report,"map, colour",weather,13,4,2,3.3,colour,no,yes
Dec-21,India to build houses for Rohingya muslims in Myanmar,jumbo figures,foreign affairs,17,2,1,0.7,colour,no,no
