Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
12,Paris: 8% more spectators in F1 race,jumbo figures,entertainment,12,2,1,1.1,colour,yes,no
12,38% increase in business of big weapons in the last 15 years worldwide,bar chart,development,13,"3, 4",2,1.7,colour,no,no
13,Delhi: Free treatment to accidents victims in all government and private hospitals,"ring chart, jumbo figures",accidents,1,2,3,2.8,colour,yes,no
13,Delhi: Visibility to be remain reduced for the next 2 days due to fog,"table, jumbo figures",environment,2,"1, 2",2.5,2.2,b&w,yes,no
13,"CSE report: bus passengers reduced, growth in 2 wheelers","table, jumbo figures",transport,2,"1, 2",3,3.9,b&w,yes,no
13,Increase in fare affecting the number of passengers in the Metro,"table, jumbo figures, bar chart",transport,2,"1, 4",2,3.9,b&w,yes,no
13,Learning online english through Cambridge course,table,education,2,3,1,1.1,b&w,yes,no
13,Jaipur: The pandal in Swarna Jayanti Stadium,map,politics,5,2,3,2.2,colour,yes,no
13,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
13,Gujarat elections: BJP vs Congress,ring chart,politics,11,2,1,1.1,colour,no,yes
13,Dubai World Super series Masters Finals start today,table,sports,12,"1, 2",4,2.8,colour,yes,no
13,India vs Sri Lanka: 2nd ODI today,jumbo figures,sports,12,"1, 2",2,1.1,colour,yes,no
13,New Zealand defeats West Indies by 240 runs in the 2nd test,table,sports,12,3,1,1.1,b&w,yes,no
13,India's extradition treaty with Britain,table,foreign affairs,13,"1, 2",2,2.2,colour,yes,no
13,Doklam: Chinese army refused to shut down operation alert,map,foreign affairs,13,1,1.5,1.7,colour,no,no
13,Aadhar card seeding: new deadline is 31st Dec,"jumbo figures, process",campaign,14,2,2,4.4,colour,no,yes
14,"Rahul gets as notice from EC for giving an interview prior to the election voting, an FIR issued against the channels",ring chart,politics,1,1,1,0.6,colour,yes,no
14,top 10 Google searches,list,lifestyle,1,3,2.5,2.2,colour,no,no
14,"Delhi dips to 10 degrees, may reduce to 6 degrees in the next 2 days",jumbo figures,weather,2,1,1,0.3,colour,no,no
14,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
14,ADB reduces India's growth prediction figures,stacked bar chart,economic,8,1,2,0.6,colour,no,no
14,Gujarat elections: second phase today,"jumbo figures, icons, map",politics,11,"1, 2",8,1.7,colour,yes,no
14,Modi's rally,table,politics,11,1,1.5,1.1,colour,no,yes
14,Rohit's 3 double centuries in 4 years,"jumbo figures, tables, maps",sports,12,"1, 2, 3, 4",8,3.3,colour,yes,no
14,FTP: Team India to play 159 matches in 4 years,"stacked bar chart, timeline",sports,12,4,2,2.8,colour,no,no
14,"Shanghai Towers, China is the world's second tallest building",jumbo figures,foreign affairs,13,2,1,1.1,b&w,yes,no
15,Gujarat elections: Exit poll results,"table, jumbo figures",politics,1,"1, 2",3.5,1.7,colour,yes,no
15,"Delhi: Temperature 19.1 degrees in the day, broke 10 year's records",table,weather,2,1,1,1.7,b&w,yes,no
15,Only 43% students pass class 9th,table,education,3,2,1,2.8,b&w,no,no
15,Ring railway range to be increased from 36 km to 50 km,"icons, jumbo figures",transport,4,3,1.5,1.7,colour,no,no
15,0.1% rich own world's 13% property,line chart,economic,7,2,1.2,1.1,colour,no,no
15,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
15,Loans are 0.25% costlier in USA,list,economic,8,1,1,1.1,b&w,no,no
15,Physical tests for the post of Accountant and Constable scheduled on the same date,jumbo figures,administration,9,2,2,1.1,colour,no,no
15,Gujarat is the 7th state with the least voting,"bar chart, table",politics,11,"1, 2",5,3.3,colour,yes,no
15,Ashes: Malan scores a century for England in the third test,table,sports,12,3,1,1.1,b&w,yes,no
15,South Africa vs Zimbabwe,line chart,sports,12,3,3,1.7,colour,no,no
15,PM Narendra Modi commissions INS Kalvari,jumbo figures,technology,13,1,1,1.1,colour,yes,no
15,12 new courts to be built for handling the cases of corrupt politicians,"jumbo figures, ring chart, list",judiciary,14,1,1,3.9,colour,no,no
16,Commercial activity in 8 lakh houses,jumbo figures,lifestyle,2,"1, 2",3,0.6,b&w,yes,no
16,"I cannot travel without pepper spray, its important for my protection, can't rely on police","jumbo figures, table, icons",crime,4,"1, 2",1.5,3.3,b&w,yes,no
16,"Jatt population in haryana is 25%, presented as 28% in govt. jobs",table,administration,7,1,2.5,1.7,b&w,no,no
16,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
16,"Leather sector gets 26 crore package,targets to provide jobs to 3.24 lakh people in 3 years",list,administration,8,4,1,2.8,b&w,no,no
16,Sanyo's first 4K smart tv,table,technology,9,1,2.5,1.7,colour,yes,no
17,Cold winds will trouble till 20th December,"bar chart, line chart",weather,2,4,1,1.1,colour,no,no
17,Team India's first ever chance to win 13 series in 1 year,"jumbo figures, ring chart, list",sports,12,"1, 2",5,3.3,colour,yes,no
18,EVM hacking conspiracy says Hardik and congress before the results,jumbo figures,politics,1,1,2,1.7,colour,yes,no
18,"Temperature at 7.8 degrees, wind rate is 22km/hr, Can cause fog 23 onwards in Delhi",line chart,weather,2,1,2,1.7,colour,yes,no
18,A 1600 bed biggest hospital will be constructed for jaccha baccha  from 560 crore costs,"visual depiction of numbers, colour, jumbo figures, icons",development,2,"2, 3",3,3.3,colour,no,no
18,Foreign investors invested 2 lakh crore in equity and date market in 2017.,table,economic,8,1,1.5,2.2,colour,no ,no
18,Electronics industry offer more than 10 lakh jobs every year,"ring chart, bar chart, line chart, colour, jumbo figures",lifestyle,11,"1, 2",3,4.4,colour,no ,no
18,"India wins by 8 wickets in this year's 50th match,wins series by 2-1","table, jumbo figures",sports,12,"1, 4",2,3.3,colour,yes,no
19,botanical garden kalka ji metro from 25th december,"jumbo figures, list",transport,1,1,2,2.8,colour,no ,no
19,"Govt. appeals general people to leave subsidy, but gets numbers for themselves worth crores in free","jumbo figures, table, list",politics,2,"1, 2",2,4.4,colour,yes,yes
19,Polloution : 207 deaths because of lung infection in 2016,table,health,2,3,1,1.1,colour,no,no
19,5 companies did not construct elevators in 19 FOB's to save 3.80 crores,jumbo figures,crime,4,1,1,2.8,colour,yes,yes
19,India is losing its nights by use of artificial lights,jumbo figures,lifestyle,6,"2, 3",2,1.1,colour,yes,yes
19,Recognize original jewellary through these 5 codes,table,lifestyle,6,4,2,2.2,colour,yes,no
19,Gujarat Himachal elections,jumbo figures,politics,9,"1, 2",8,2.2,colour,no,no
19,BJP wins 65% seat in H.P and 54% seats in Gujarat,jumbo figures,politics,9,"2,3",1,1.1,b&w,no,no
19,"Amongest 14 BJP ruled states,BJP wins 6th time in H.P and 8th Time in Gujarat","map, icons",politics,9,"1, 2",2,2.2,colour,yes,no
19,Sensex,"icons, colour",sensex,11,"1, 2",8,1.1,colour,no,no
19,Farmer debt exemption can cause loss of 1.08 lakh crores to 5 states,table,economic,11,2,1,1.7,b&w,no,no
19,Australia becomes champion for 33rd time,jumbo figures,politics,12,"3, 4",1,1.7,b&w,yes,no
19,Gujarat Himachal elections,"jumbo figures, colour",politics,1,"1, 2",8,1.7,colour,no,yes
19,Modi's 12th victory and Rahul's 29th defeat,"map, table, jumbo figures",politics,1,1,2.5,3.3,colour,no ,no
19,"After Indira Gandhi, Modi becomes the first prime minister to win 12 out of 18 elections","jumbo figures, table",politics,1,"3, 4",2.5,2.2,colour,yes,no
19,On BJP's victory and Congress' defeat,"jumbo figures, line chart",politics,1,3,2,2.8,colour,no,no
19,Congress wins 55% of seats after collabrating with Patels ,"ring chart, table, colour",politics,2,2,3,1.7,colour,yes,yes
19,Congress falls down from 29 to 5 states in 67 years whereas BJP grabs 19 states in 27 years,"line chart, map, jumbo figures",politics,2,"1, 2",5,4.4,colour,no,no
19,BJP loses 12 seats in whole nation,"ring chart, table",politics,2,2,2,3.3,colour,no,no
19,Modi won 15 out of 16 seats in areas where he talked on poor people's issues,"ring chart, colour",politics,2,"3, 4",2,2.2,colour,yes,no
19,BJP's 81 and Congress' 57 MLAs are crorepati,bar chart,politics,2,3,2,1.7,colour,no,yes
19,"8 out 23 leaders got defeated, Patels have the maximum wins",jumbo figures,politics,2,3,2,2.2,b&w,no ,yes
20,Air quality index,bar chart,environment,2,2,1,1.7,colour,no,no
20,Statistics of surgeries in hospitals,table,health,2,1,1,1.1,b&w,no,yes
20,"Out of 1856 only 12 got booked, still the construction is being started","bar chart, table",lifestyle,4,1,2,1.1,colour,yes,no
20,47% of the males in the country consider beating wife a right thing,"jumbo figures, stacked bar chart, icons, colour",lifestyle,6,"2, 3",2,10,colour,no,yes
20,47 out of 182 MLAs have criminal records,ring chart,crime,9,2,1,1.7,colour,yes,no
20,Sensex,"icons, colour",sensex,11,"1, 2",8,1.1,colour,no,no
20,"No. 1 in test from last two years, Smith gets 945 points",table,sports,12,1,3.5,1.1,colour,yes,no
20,After Sri Lanks's clean sweep team India will become no.2 in T20,jumbo figures,sports,12,4,1,1.1,colour,yes,no
20,Leakage in Royal navy's advance aircraft carrier,jumbo figures,foreign affairs,13,4,1,1.1,colour,yes,no
20,Employee welfare,jumbo figures,lifestyle,1,2,2,2.2,b&w,no,no
21,"Delhi's pollutions has crossed the limits, preparing to use anti smog guns",jumbo figures,environment,1,2,0.5,2.2,colour,yes,no
21,"Rich increases, poor decreases. Millionaire's population increases by 23.5%",stacked bar chart,lifestyle,1,3,3,1.7,colour,no,no
21,AQI of four places in Delhi,ring chart,lifestyle,2,2,1,1.7,colour,no,no
21,India's most wanted Ilyasi,jumbo figures,crime,3,"1, 2",8,1.1,colour,yes,no
21,"Out of 182 MLAs, 57% of people under the age of 40 are millionaires",table,politics,9,"1, 2",5.5,3.3,colour,no,no
21,Sensex,"icons, colour",sensex,11,"1, 2",8,1.1,colour,no,no
21,HDFC bank will gather 24000 crores to give more more debts,"bar chart, table",lifestyle,11,"1, 2",2,1.7,colour,no,no
21,Electric vehicles sale is possible after 30 years : said SIAM,jumbo figures,transport,11,1,1.2,1.7,colour,yes,no
21,Team India makes biggest victory record against Sri Lanka,table,sports,12,"1, 3, 4",3,1.7,b&w,yes,no
21,Virat Kohli becomes country's most valuable celebrity,jumbo figures,entertainment,12,3,2.5,1.1,colour,yes,no
22,AQI severe at these four places,ring chart,lifestyle,2,2,1,1.7,colour,no,no
22,CBI court declared 34 people as culprits in 3 cases,table,judiciary,4,"1, 3",0.5,1.7,b&w,no,yes
22,First case resolved after 8 yrs 2 months,timeline,judiciary,4,3,1,5.6,colour,no,no
22,Cyber attacks will lead to loss of 65 lakh crore in 3 years,"jumbo figures, bar chart",crime,8,"2, 3",2,10,colour,no,yes
22,More than half of the govt. doctors behave roughly and do not listen to the patient,"map, jumbo figures, stacked bar chart",lifestyle,8,"1, 2, 3, 4",3,3.9,colour,yes,no
22,Sensex,"icons, colour",sensex,13,"1, 2",8,1.1,colour,no,no
22,Vidharbh reaches in Ranji Trophy finals for the first time,table,sports,14,3,1,1.7,b&w,yes,no
23,"Rohit's fastest century,India's highest score in T20",jumbo figures,sports,1,2,0.3,2.2,b&w,yes,no
23,AQI severe at these four places,ring chart,lifestyle,2,2,1,1.7,colour,no,no
23,"No. of literate minors increase in crime, maximum increase is among 10th pass youngsters","area chart, stacked bar chart, table, jumbo figures, histogram",crime,6,"2, 3",2,10,colour,yes,yes
23,It will take a decade to finish unemployment,jumbo figures,development,6,"1, 2",1,2.8,colour,yes,no
23,IIT Rajasthan tops in admission,table,education,10,"3, 4",2.5,2.2,colour,no,no
23,Rohit strikes century on 35th ball,"jumbo figures, table",sports,16,"3, 4",3,2.8,b&w,yes,no
24,Fodder scam: Lalu Prasad goes to jail for 7th time,jumbo figures,politics,1,2,0.6,0.7,b&w,yes,no
24,Delhi parents enquire about the blue whale game and how do they check effect of pradyuman murder on children's mind,"bar chart, table",lifestyle,1,"3, 4",2.5,2.2,colour,yes,no
24,Poor AQI at these four places,ring chart,lifestyle,2,2,1,1.7,colour,no,no
24,5100 children arranged to make biggest lungs visual,jumbo figures,lifestyle,2,2,1,0.6,b&w,yes,no
24,Many ministers cars are running without pollution check,"jumbo figures, table, list",environment,2,"1, 3, 4",2.5,2.8,b&w,yes,yes
24,"Delhi to Gaziabad in 25 minutes, no traffic and red light chaos anymore.",jumbo figures,transport,4,4,2,0.8,b&w,yes,no
24,"Raw material's price increases to 300%, medicines will be expensive",table,lifestyle,1,1,1.2,1.3,colour,no,no
24,"Rohit scored not more than 20 in 48% matches, after hitting the century he is the fastest now",table,sports,1,3,1.5,3.3,colour,yes,no
25,Very poor pollution level at 3 places,ring chart,environment,2,2,1,1.7,colour,no,no
25,"11 hospitals were to be constructed in 28 years, work has not been started yet in 8 hospitals even after 36 years",jumbo figures,development,2,"1, 2, 3, 4",1.5,3.3,colour,yes,no
25,2.45 crore unit of electricity worth 19 crore saved through retrofitting,table,lifestyle,2,3,1.5,2.2,colour,no,yes
25,32% of the online gamers are females in India,"jumbo figures, ring chart, icons, table",lifestyle,4,"2, 3",2,10,colour,yes,yes
25,"Out of 14 lakh lawyers in the country, 12 lakh don't pay income tax",jumbo figures,lifestyle,4,4,2.5,1.7,colour,no,no
25,"India ink collects 8.5 crore lakh rupees, 10% more than last year","bubble chart, stacked bar chart",economic,9,1,2.5,1.1,colour,no,no
25,Golden era for indian cricket team,"jumbo figures, table",sports,10,"1, 2",3,3.9,colour,yes,no
25,India's 15th win against Sri Lanka,"jumbo figures, table",sports,10,"3, 4",2.5,2.8,b&w,yes,no
25,"Adventure tourism at Assi Ghat, Varanasi becomes the first city to provide hot air balloon ride",jumbo figures,lifestyle,12,2,1,1.7,colour,yes,no
25,Government of assurances,"bar chart, jumbo figures",politics,1,"1, 2",1.2,2.2,colour,no,yes
25,Politicians appeal people to leave subsidy on one hand and on the other hand they themselves are not ready to restrict their love for VIP numbers,jumbo figures,politics,2,"1, 2",7,3.3,b&w,yes,no
25,Sunday was the coldest day of this season @ 6.3 degrees,"bar chart, line chart",weather,2,2,1,1.1,colour,no,no
25,botanical garden kalka ji metro from 25th december,map,transport,2,"3, 4",5,1.7,colour,yes,no
26,Pollution level very severe at 3 places,ring chart,lifestyle,2,2,1,1.7,colour,no,no
26,Metro's network increases by 41 km in 6 years,jumbo figures,transport,2,"1, 2, 3, 4",3,1.1,colour,yes,no
26,You will be shocked to know about this new ATM fraud scheme,"jumbo figures, bar chart, line chart",lifestyle,2,4,1,1.1,colour,yes,no
26,2 flyovers and 1 bridge's work is left incomplete for not getting budget of 112 crore,jumbo figures,development,4,1,2,3.3,b&w,yes,no
26,Every hour 18 people are dead because of careless drivers,"jumbo figures, stacked bar chart, icons",accidents,6,"2, 3",2,10,colour,no,yes
26,Danger of catching any disease in Delhi is more than 93% because of pollution ,"jumbo figures, map, bar chart, table",health,6,"1, 2",4,4.4,colour,yes,yes
26,"In the harassment of 838 girls in punjab in 2016, 73% were their own reletives","table, jumbo figures",crime,7,"3, 4",3.5,0.6,b&w,no,no
26,"Govt. : If doctors are found absent on duty, they will be arrested in the next 24 hours",table,administration,8,4,1.2,1.7,colour,no,no
26,India has the least deposit insurance,table,lifestyle,11,2,1,2.2,colour,no,no
27,India will be 5th largest economy in 2018,"line chart, pie chart, jumbo figures, table",economic,1,"1, 2",3.5,3.9,colour,yes,no
27,"Admissions for nursery will start from today, upper age not decided yet",table,education,2,"1, 2",6,7.8,colour,yes,no
27,We are ranked the 3rd country in startups but govt funding is just 6%,jumbo figures,lifestyle,4,"2, 3",2,10,colour,no,yes
27,world's 8% of the researches are done in our country but patents just receive 0.2%,"jumbo figures, stacked bar chart",lifestyle,4,"1, 2",3,3.3,colour,yes,no
27,Finance Ministry dismisses the 'non-lapsable' fund,table,administration,4,4,2,1.7,b&w,yes,no
27,Guwahati - Jaipur airports are more prone to terrorist attacks,table,crime,4,4,1,2.8,b&w,yes,no
27,Sensex,"icons, colour",sensex,9,"1, 2",8,1.1,colour,no,no
27,"1170 km race, 102 yarts, no prize money ",map,lifestyle,10,1,1.5,2.2,colour,yes,no
27,"Warner's 21st century, Smith becomes years top batsman","table, jumbo figures",sports,10,"3, 4",3,1.1,colour,yes,no
27,Europians footballers become the players with maximum goals this year.,table,sports,10,4,1,1.1,colour,yes,no
27,Pollution level,ring chart,lifestyle,2,2,1,1.7,colour,no,no
27,Kejriwal increases water price by 20%,table,administration,2,"1, 2",2,1.1,colour,no,yes
27,Cesarean delivery is 43% more in private hospitals ,stacked bar chart,health,2,4,2,2.2,colour,no,no
27,"For permanent licence, driving test will be held on automated trucks",jumbo figures,lifestyle,2,4,1,1.1,b&w,no,no
28,Admission process of some selected Delhi schools,table,education,4,"1, 2, 3, 4",8,11.1,colour,yes,yes
28,Encroachment on lands increases by 1.5 times in Gaziabad,"table, list",crime,5,2,2,2.2,colour,no,no
28,More than 7000 indans are in arrest in 86 countries all over the world ,"colour, jumbo figures, stacked bar chart, bubble chart",crime,6,"2, 3",2,6.7,colour,yes,yes
28,80% of online buyers buy fake products unknowingly,jumbo figures,lifestyle,6,3,2,0.6,colour,no,no
28,Police modernisation : Budget doubles in 4 years but expenditure decreases by 72%,"table, jumbo figures, bar chart",lifestyle,6,"3, 4",3.5,3.3,colour,yes,no
28,Railway recruitment scam,list,crime,9,1,1.5,2.2,colour,no,no
28,Sensex,"icons, colour",sensex,11,"1, 2",8,1.1,colour,no,no
28,Only 6 players are assured for entry in playing 11 ,table,sports,12,1,1,1.7,colour,yes,no
28,"Anderson, Brad and Cook make England's entry in 4th test","table, jumbo figures",sports,12,"1, 4",2,3.3,b&w,yes,no
29,Pollution level,ring chart,lifestyle,2,2,1,1.7,colour,no,no
29,"People take Onion, tomato, chilly on credit in dasna jail",jumbo figures,lifestyle,3,4,1.5,0.6,colour,yes,no
29,Sensex,"icons, colour",sensex,11,"1, 2",8,1.1,colour,no,no
29,Indian CEO's salary 229 times those of his employees,table,lifestyle,11,2,1,2.2,colour,no,no
29,Cooks hits double century in 4th test ,table,sports,12,4,1.5,1.1,b&w,yes,no
29,Virgil van dijk becomes the most expensive defender,table,sports,12,4,1.5,1.7,colour,yes,no
29,9 regions from 8 states opposed 3 talaaq ,table,lifestyle,13,2,1.5,3.3,colour,yes,no
30,"Shayara challanged teen talaaq in supreme court 2 years ago, court then told it to be wrong",timeline,lifestyle,13,"1, 2",7,1.7,colour,yes,no
