Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-16,One in 4 rape cases led to conviction,"ring chart, bar chart, colour",crime,21,1,2,2,colour,no,yes
Dec-16,City still unsafe for women,"stacked bar chart, list, icons, colour, bar chart",crime,22,"1, 2, 3, 4",3,5.5,colour,no,yes
Dec-17,In Mumbai battle over forest land,map,environment,12,"3, 4",1.5,2,colour,no,no
Dec-17,Preconception & Pre-Natal sex Determination is a Criminal Offence,"table, list",campaign,19,"3, 4",8,5,colour,yes,yes
Dec-18,Sunrise-sunset and temperature,table,weather,2,2,1,2,b&w,no,no
Dec-18,weather watch,"map, table",weather,6,1,2,7,colour,no,no
Dec-18,Unequal India,line chart,economic,9,4,2,2,colour,no,no
Dec-18,What India's student exodus means,"line, bar chart, table",education,14,4,3,2.5,colour,no,no
Dec-18,Private hospitals are for the rich,"line chart, jumbo figures",health,20,"1, 2",2.5,2,colour,yes,yes
Dec-18,If generic drugs are widely accepted...,table,health,20,4,3,2,colour,yes,no
Dec-18,"2017-18 admission policy a failure, say JNU teachers",stacked bar chart,education,21,2,2,2,colour,yes,no
Dec-18,Society must act to stop juveniles from taking to crime,"bubble chart, ring chart",crime,21,"3, 4",4,4,colour,no,yes
Dec-18,Test of mettle in steel city,map,education,27,1,1,1.2,colour,yes,no
Dec-18,internships,list,education,27,4,3,2.5,colour,no,no
Dec-18,scholarships,list,education,27,3,1,9,colour,no,no
Dec-19,Sixth straight win in PM's home state,"ring chart, bubble chart",politics,1,1,1,3,colour,yes,no
Dec-19,CM candidate Dhumal loses in Sujanpur,"ring chart, bubble chart",politics,1,1,1,3.5,colour,no,no
Dec-19,Sunrise-sunset and temperature,table,weather,2,2,1,2,b&w,no,no
Dec-19,Fee assistance scheme,table,campaign,3,"3, 4",8,2,b&w,yes,no
Dec-19,Weather watch,"map, table",weather,6,1,2,7,colour,no,no
Dec-19,Loopsided-income distribution,bar chart,economic,9,4,2,2,colour,no,no
Dec-19,BJP cashes in on urban support in Gujarat,"map, line chart, table, colour",politics,11,"1, 2",8,9,colour,yes,no
Dec-19,Indices move in step with poll results,line chart,sensex,13,2,2,2.8,colour,no,no
Dec-19,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-19,Kohli & Co. can dominate the next five years,table,sports,15,1,2,2.8,colour,yes,no
Dec-19,PM Modi to launch Magenta line section on Dec 25,"jumbo figures, timeline",transport,19,"1, 2",4,2.2,colour,yes,yes
Dec-19,North Delhi to get 13 surface parking lots,list,transport,19,4,2,3.3,b&w,no,yes
Dec-20,Sunrise-sunset and temperature,table,weather,3,4,1,2,b&w,no,no
Dec-20,Weather watch,"map, table",weather,6,1,2,7,colour,no,no
Dec-20,Unsafe workplaces,table,crime,9,4,2,2,b&w,no,no
Dec-20,Over 5.5 lakh voters went with NOTA,"map, bar chart",politics,11,"2, 3",3,3.2,colour,no,no
Dec-20,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-20,Delhi still not free of spurious Ayush medicines: Minister,table,health,22,"1, 2",3,3,b&w,no,no
Dec-21,Surge in incomes over Rs 5cr: I-T dept.,table,economic,1,1,1,1,colour,yes,no
Dec-21,Sunrise-sunset and temperature,table,weather,2,2,2,1.5,b&w,no,no
Dec-21,Weather watch,"map, table",weather,6,1,2,7,colour,no,no
Dec-21,Urban ratios,table,environment,9,4,2,2.5,colour,no,no
Dec-21,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-21,Anti smog 'gun' trial held at Anand Vihar,line chart,technology,20,3,3,2,colour,yes,no
Dec-22,Severe pollution leads to warning for NCR States,"map, colour, icons",environment,1,3,2,2,colour,no,no
Dec-22,Sunrise-sunset and temperature,table,weather,2,2,1,2,b&w,no,no
Dec-22,Weather watch,"map, table",weather,6,1,2,7,colour,no,no
Dec-22,Media explosion,table,lifestyle,9,4,2,1,colour,no,no
Dec-22,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-23,Sunrise-sunset and temperature,table ,weather,2,2,1,2,b&w,no,no
Dec-23,Your car is precious,list,campaign,3,3,4,3.5,colour,yes,no
Dec-23,"Act of political vendetta, says Chavan",timeline,politics,5,"1, 2",4,2.5,colour,yes,no
Dec-23,Market watch,table,economic,11,2,1,8.5,colour,no,no
Dec-23,Game that stops the world,"jumbo figures, table",sports,16,"1, 2",8,1.2,colour,yes,no
Dec-23,Stacking up,table,sports,16,"3, 4",6,4.5,colour,yes,no
Dec-23,Who rules El Classico,"table, bar chart",sports,17,1,8,2.5,colour,yes,no
Dec-23,Game theory,"table, bar chart",sports,17,3,3,6,colour,yes,no
Dec-23,On the tracks,"map, stacked bar chart, list",transport,20,"1, 2",7,3,colour,yes,no
Dec-24,Motorbike protection against theft,list,campaign,3,"1, 4",4,3.5,colour,yes,no
Dec-24,fodder trail,timeline,crime,11,"1, 2",6.5,1.5,colour,yes,no
Dec-24,"In Kerala, devastating cyclone and after",map,environment,12,4,1.5,2.5,colour,no,no
Dec-25,Sunrise-sunset and temperature,table,weather,2,2,1,2,b&w,no,no
Dec-25,public notice: Botanical garden to kalkaji mandir,"table, map",transport,3,4,3,3,colour,yes,yes
Dec-25,Weather watch,"table, map",weather,6,1,2,7,colour,no,no
Dec-25,India's parasite burden,ring chart,health,9,4,2,2,colour,no,no
