Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-18,"Good returns on share, gold becomes stagnant",jumbo figures,economic,13,3,1,1.5,colour,no,no
Dec-18,Dhawan scares SL,"table, jumbo figures",sports,14,"1, 2",2,6,b&w,yes,no
Dec-18,Ronaldo's magic help Real Madrid retain their title,"list, jumbo figures",sports,14,"3, 4",2,1.5,b&w,yes,no
Dec-18,SpaceX launches recycled space vehicle,jumbo figures,technology,15,1,1,1,colour,yes,no
Dec-19,Brand Modi wins in Gujarat and Himachal,"jumbo figures, list, icons",politics,1,"1, 2",8,2,colour,yes,no
Dec-19,Education loan,table,education,2,"3, 4",7,2,b&w,yes,no
Dec-19,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-19,Monday hottest in last 5 years ,table,environment,3,3,1,2,b&w,no,no
Dec-19,Magenta line is operating now,"map, jumbo figures",transport,5,"1, 2",3,4,colour,yes,no
Dec-19,Crane to confisticate 115 vehicles creating traffic jam,jumbo figures,administration,6,4,1,1,b&w,no,no
Dec-19,Petrol/diesel prices,table,economic,7,1,2,2,colour,yes,no
Dec-19,19 states have NDA govt,"map, colour",politics,11,"3, 4",3,5,colour,no,no
Dec-19,Himachal continues its exchange trend,"jumbo figures, icons, list, map",politics,11,4,4.5,4,colour,yes,no
Dec-19,BJP destroys all equations in politics,"map, icons, jumbo figures",politics,10,"1, 2, 3, 4",6,5,colour,yes,no
Dec-19,Rahul succesful in increasing his prestige in Gujarat,list,politics,10,4,1.5,2.5,b&w,yes,no
Dec-19,Companies giving profits on GST will be investigated,jumbo figures ,administration,15,"1, 2",2,0.5,colour,no,no
Dec-19,Sensex,"area chart, icons, table",sensex,15,2,1,8,colour,no,no
Dec-19,Way open for making bigger financial decisions,line chart,sensex,15,2,2,1.5,colour,no ,yes
Dec-19,"Ausralia defeats England, wins Ashes","jumbo figures, timeline",sports,18,2,2,1.5,b&w,yes,no
Dec-19,Gambhir and Chandela strikes centuries,jumbo figures,sports,18,3,2,0.5,b&w,yes,no
Dec-19,Morgan scores quickest 50,jumbo figures,sports,18,3,1,1,b&w,yes,no
Dec-20,Metro hits the wall on Magenta line,jumbo figures,transport,1,2,1,0.5,colour,yes,no
Dec-20,The admission test for primary school teachers gets cancelled,jumbo figures,education,1,2,2,0.5,colour,yes,no
Dec-20,Most cab drivers ride under influence of alcohol,"jumbo figures, map",transport,2,"1, 2",4,2,colour,no,yes
Dec-20,Fatal accidents due to drunk driving increases 5 fold,"jumbo figures, table",accidents,2,1,1,5,colour,no,yes
Dec-20,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-20,Doctor stabbed in quarrel ,jumbo figures,crime,4,2,1,0.5,colour,no ,yes
Dec-20,"261% more wealth made than income, jail after 32 years",jumbo figures,judiciary,5,2,1,1,colour,yes,no
Dec-20,Crores of rupees racketed in the name of bitcoin,"list, jumbo figures",crime,6,"1, 2",4,0.5,b&w,yes,no
Dec-20,Petrol/diesel prices,table,economic,7,1,2,2,colour,yes,no
Dec-20,Cancer deadly in changing lifestyle,"visual depiction of numbers, icons, bar chart, jumbo figures",health,10,"1, 2, 3, 4",5,3,colour,no,yes
Dec-20,6 major regions in Gujarat and Himachal Pradesh which helped BJP win,"map, colour, stacked bar chart, icons, jumbo figures",politics,12,"1, 2",6,3,colour,no,no
Dec-20,Gujarat election stats,"stacked bar chart, ring chart",politics,12,4,2,5,colour,no,no
Dec-20,Phones with AI to dominate the market next year,table,technology,13,1,1,1.5,b&w,yes,no
Dec-20,Sensex,"area chart, icons, table",sensex,13,"2, 3 ",1,8,colour,no,no
Dec-20,Cannot change account without consent of customer,jumbo figures,judiciary,13,2,1,0.5,colour,yes,no
Dec-20,Cuttack to hold Ind Vs SL,jumbo figures,sports,16,2,1,2,b&w,yes,no
Dec-20,Maximum Indian migrants in various countries,"bar chart, map, colour, list",lifestyle,17,1,5,3,colour,no,no
Dec-20,Everyone should learn from Dokala,jumbo figures,foreign affairs,17,3,1,1,b&w,no,no
Dec-20,Pollution adding to anger in teenagers,jumbo figures,health,18,2,1,1,b&w,no,yes
Dec-20,Apple's biggest eco-friendly office to open up in April,jumbo figures,lifestyle,18,1,1,2,b&w,yes,no
Dec-21,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-21,Anti smog gun ready,jumbo figures ,environment,5,2,1,2,b&w,yes,no
Dec-21,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-21,Timeline of the happening,"timeline, list",crime,6,"1, 2",5,2.5,colour,yes,no
Dec-21,Kidnapped station master was let go after 16 hours,"map, timeline",crime,7,"1, 2",2,3,colour,yes,no
Dec-21,Sensex,"area chart, icons, table",sensex,13,2,1,8,colour,no,no
Dec-21,Wealth decreases but 24% rise in crorepati,jumbo figures,economic,13,1,1,1,colour,yes,no
Dec-21,Inferior service or products won't be tolerated,jumbo figures,judiciary,13,2,1.5,0.5,colour,yes,no
Dec-21,India defeats Sri Lanka in Cuttack,jumbo figures,sports,16,2,2,1,b&w,yes,no
Dec-21,Selective big tournaments should be organised for badminton too: Saina,list,sports,16,3,1,0.5,b&w,yes,no
Dec-21,Worst passwords,list,lifestyle,18,3,1,1.5,b&w,no,no
Dec-21,Medicine made from milk and tomatoes to cure heart diseases,jumbo figures,health,18,2,1,0.5,b&w,no,yes
Dec-22,41 girls rescued from Rohini Ashram,jumbo figures,crime,1,3,2,1,b&w,no,no
Dec-22,All accused of 2G scam acquitted,"list, jumbo figures",judiciary,1,"1, 2",6,0.5,b&w,yes,no
Dec-22,Thursday was least cold in 7 years,table,environment,3,1,1,1.5,colour,yes,no
Dec-22,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-22,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-22,Yogi to inspect the progress,jumbo figures ,development,6,2,1,1,colour,yes,no
Dec-22,Sensex,"area chart, icons, table",sensex,13,2,1,8,colour,no,no
Dec-22,Vegetable prices,table,economic,13,"1, 2",4,1,colour,yes,yes
Dec-22,Money deposited in bank is secure,jumbo figures,economic,13,2,1,1,colour,no,yes
Dec-22,Raja had to resign,timeline,judiciary,17,3,2,7,colour,no,no
Dec-22,Accused become emotional on verdict,list,judiciary,17,2,3,2,b&w,yes,no
Dec-22,Vidarbh marches to finals,jumbo figures,sports,18,2,2,3.5,b&w,yes,no
Dec-23,Rohit powers India's victory,jumbo figures,sports,1,1,1,1,b&w,yes,no
Dec-23,Rupani still to lead Gujarat,jumbo figures,politics,1,2,1,1,b&w,yes,no
