Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
10,JEE Mains: Document correction,jumbo figures,education,7,1,1,1.1,colour,yes,no
10,Security of bank savings,jumbo figures,economic,14,"1, 2",1,2.2,colour,no,yes
10,Online poll,bar chart,public opinion,14,3,1.5,1.7,colour,no,no
10,India vs Sri Lanka: First ODI,jumbo figures,sports,15,2,1,2.2,b&w,yes,no
10,Oli and Prachand to return to power in Nepal,jumbo figures,foreign affairs,16,2,1.5,0.6,colour,yes,no
11,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
11,Only 100 buses to accept Metro smart card,jumbo figures,transport,2,1,1.5,3.3,colour,yes,no
11,Fortis hospital in Gurugram is on free hold land,jumbo figures,crime,5,2,4,3.3,colour,no,yes
11,Job alert,jumbo figures,lifestyle,7,"2, 3",2,3.3,colour,no,yes
11,World's top media market,bar chart,development,10,3,2.5,2.2,b&w,no,no
11,Online poll,bar chart,public opinion,13,3,1.5,2.8,colour,no,no
11,Indian hockey team wins bronze by defeating Germany,jumbo figures,sports,15,2,1,0.6,b&w,yes,no
11,India vs Sri lanka: India loses by 7 wickets,"jumbo figures, table",sports,15,"1, 2, 4",4,4.4,colour,yes,no
11,Ranji quarter final: Karnataka beats Mumbai,jumbo figures,sports,15,3,1.5,1.1,colour,yes,no
11,Oli may become the next PM in Nepal,jumbo figures,foreign affairs,16,2,1.5,0.6,colour,yes,no
12,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
12,Delhi Metro: Chances to postpone the deadline for the pink line,jumbo figures,transport,2,1,1,3.3,colour,yes,no
12,Job alert,jumbo figures,lifestyle,7,"2, 3",2,3.3,colour,no,yes
12,Noida: An infant dies after delivery in an auto,jumbo figures,accidents,8,2,1,0.6,colour,yes,no
12,Delhi is unsafe for women,bar chart,crime,10,3,2.5,2.2,b&w,yes,no
12,Sensex,icons,sensex,11,"1, 2",6,0.6,b&w,no,no
12,Gender equality policies failing in Indian companies,"jumbo figures, table",lifestyle,13,4,3,2.2,colour,no,yes
12,Health in sports,jumbo figures,health,14,2,1.5,1.1,colour,yes,no
12,Cricket: India to play more on home grounds,jumbo figures,sports,15,"1, 2",1,1.1,b&w,yes,no
13,12 new courts to be built for handling the cases of corrupt politicians,jumbo figures,judiciary,1,2,1,0.6,colour,yes,no
13,Gujarat: Last day of publicity spent in temples,jumbo figures,politics,1,1,1,0.6,colour,yes,no
13,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
13,Air pollution in Delhi,table,environment,2,1,1,1.1,b&w,no,no
13,Delhi police self-defense campaign,table,campaign,3,3,4,3.3,colour,yes,no
13,Job alert,jumbo figures,lifestyle,6,"2, 3",2,3.3,colour,no,yes
13,Flight of bitcoin,bar chart,economic,10,3,2.5,2.2,b&w,yes,no
13,Sensex,icons,sensex,11,"1, 2",6,0.6,b&w,no,no
13,Free treatment for accidents victims,jumbo figures,accidents,12,2,1,1.1,colour,no,no
13,"Second round of publicity done, elections tomorrow",jumbo figures,politics,14,2,1,1.1,b&w,yes,no
13,Heavy snowfall in Himachal Pradesh,jumbo figures,weather,15,2,1,1.1,colour,yes,no
13,Online poll,bar chart,public opinion,15,3,1.5,1.7,colour,no,no
13,Team India in Mohali,jumbo figures,sports,17,1,3.5,3.3,colour,yes,no
